(-171, -3479, -1299)
(-1211, -1093, -1333)
(-32, -1112, -1332)
(-167, -2408, -2416)
(1057, -3544, -2543)
(-1352, -1013, -2478)
(-2538, -3442, -2459)
(-30, 1297, -1357)
(-2521, -1192, -1367)
(-3693, -2274, -1367)
(-2431, -1181, -133)
(-138, -1078, -29)
(2391, -1025, -23)
(-1233, -1018, -3745)
(-1346, 104, -1267)
(-105, 2547, -1207)
(1206, -2338, -2536)
(-2510, 86, -1351)
(-2428, -2365, -1373)
(-2422, 170, -13)
(-2527, -3417, -1339)
(-47, 83, -1242)
(-1200, -2242, -2507)
(-28, -2229, -1376)
(2237, -1134, 1158)
(3529, -1044, 8)
(1190, -1094, -1235)
(1036, -1056, -1)
(-2584, 1280, -138)
(2352, 180, -6)
(-1346, 57, -25)
(2399, -1125, -1207)
